,Name,Series title,Country of publication,Material type,Place of publication,Publisher,Genre,Languages
44,"Dubslaff, Friedrich",Studien zur Englischen Philologie,,Volume,"Halle, Saale",,,German
45,"Robb, Nesca Adeline",,England,Volume,London,Hutchinson,,
46,"Rossetti, William Michael",,England,Volume,London,Sands,,
47,"Sandars, Mary F.",,England,Volume,London,Hutchinson,,English
48,"Cary, Elisabeth Luther",,England ; United States of America,Volume,London ; New York,G. P. Putnam's,,English
49,"Faure, afterwards Goyau, Lucie Félix",,,Volume,Paris,,,French
50,"Swann, Thomas Burnett",,,Volume,"Francestown, New Hampshire",Marshall Jones,,
51,"McDowall, Cecilia",New horizons,England,Volume,Oxford,Oxford University Press,Music,English
52,"Jackson, Gabriel",New horizons ; Oxford contemporary repertoire,England,Volume,Oxford ; Tewkesbury,Goodmusic ; Oxford University Press ; under exclusive licence,,English ; Latin
53,,,England,Volume,Tewkesbury,Association of English Singers & Speakers ; Goodmusic,Excerpt,English
54,"Finzi, Gerald",,England,Volume,"Milwaukee, Wisconsin",Boosey & Hawkes ; Hal Leonard,,English
55,"Hemingway, Roger",,England,Volume,Matfield,Encore Publications,,English
56,"Hare, Ian",Eboracum choral series,England,Volume,Sand Hutton,Banks Music,,English
57,"McDowall, Cecilia",New horizons,England,Volume,Oxford,Oxford University Press,,English
58,"Jiménez, Nilda",,England,Volume,"London ; Westport, Connecticut",Greenwood,,English
59,,,England,Volume,London,S.P.C.K,,English
60,,,England,Volume,London,Society for Promoting Christian Knowledge,,English
61,,,England ; United States of America,Volume,Brighton ; London ; New York,E. & J. B. Young ; Society for Promoting Christian Knowledge,,English
62,,,England,Volume,London,S.P.C.K,,English
63,"Bullard, Alan",Colne Edition church music series,England,Volume,"Colchester, Essex ; Colne ; Laggan Bridge, Scottish Highlands",Music ; sole selling agents Spartan Press,,English
64,"Rossetti, Dante Gabriel",Pictures & paroles,Italy,Volume,Palermo,della battaglia,Translations into Italian,Italian
65,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,
66,"Finzi, Gerald",,United States of America,Volume,New York,Boosey & Hawkes,,English
67,,,England,Volume,London,S.P.C.K,,English
68,,Oxford Christmas music,United States of America,Volume,New York,Oxford University Press,,English
69,"Darke, Harold",,England,Volume,London,Stainer & Bell,,English
70,,Oxford Christmas music,United States of America,Volume,New York,Oxford University Press,,English
71,"Finzi, Gerald",,United States of America,Volume,New York,Boosey & Hawkes,,English
72,"Finzi, Gerald",,United States of America,Volume,New York,Boosey & Hawkes,,English
73,"Finzi, Gerald",,England ; United States of America,Volume,New York,Boosey & Hawkes,,English
74,"Finzi, Gerald",,England ; United States of America,Volume,New York,Boosey & Hawkes,,English
75,"Finzi, Gerald",,United States of America,Volume,New York,Boosey & Hawkes,,English
76,"Finzi, Gerald",,England ; United States of America,Volume,New York,Boosey & Hawkes,,English
77,"Finzi, Gerald",,United States of America,Volume,New York,Boosey & Hawkes,,English
78,"Finzi, Gerald",,England ; United States of America,Volume,New York,Boosey & Hawkes,,English
79,"Finzi, Gerald",,United States of America,Volume,New York,Boosey & Hawkes,,English
80,"Finzi, Gerald",,England ; United States of America,Volume,New York,Boosey & Hawkes,,English
81,"Rossetti, Christina Georgina",,England,Volume,London,S.P.C.K,,
82,"Rossetti, Christina Georgina",,,Volume,,S.P.C.K,,English
83,"Rossetti, Christina Georgina",,,Volume,,Macmillan,,English
84,"Ellis D'Alessandro, Jean M.",Poiesis e critica mitica,Italy,Volume,Pisa,,,English
85,"Jurlaro, Felicita",,England,Volume,London,Excalibur,,English
86,"Thomas, Eleanor Walter",Columbia University Studies in English and Comparative Literature,United States of America,Volume,New York,,,
87,"Westcott, Brooke Foss",,England ; United States of America,Volume,London ; New York,E. & J. B. Young ; Society for Promoting Christian Knowledge,,English
88,"Rossetti, Christina Georgina",Benn's Augustan books of poetry,,Volume,,Benn,,English
89,,,India,Volume,Madras,,,
90,"Birkhead, Edith",Poetry & Life Series,England,Volume,London,G. G. Harrap,,
91,"Barua, Geeta",,India,Volume,Varanasi,Ganga Kaveri,,English
92,"Battiscombe, Georgina",,England,Volume,London,Constable,,English
93,"Marsh, Jan",,England,Volume,London,Jonathan Cape,,English
94,"Marsh, Jan",,England,Volume,London,Faber Finds,Biography,English
95,"Marsh, Jan",,England,Online resource,London,Pimlico,Biography,English
96,"Crump, R. W. (Rebecca W.)",Reference guides in literature,United States of America,Volume,"Boston, Massachusetts",G.K. Hall,,English
97,"Shove, Fredegond",,England,Volume,Cambridge,Cambridge University Press,,English
98,"D'Amico, Diane",,United States of America,Volume,Baton Rouge,Louisiana State University Press,,English
99,"Rossetti, Christina Georgina",Illustrated poetry anthology,England,Volume,London,Brockhampton,,English
100,"Owens, Susan",,United States of America,Volume,New Haven,Yale University Press,,English
101,"Mason, Emma",Spiritual lives,England,Volume,Oxford,Oxford University Press,Criticsm and interpretation,English
102,"Mason, Emma",Spiritual lives,England,Online resource (ebook),Oxford,Oxford University Press,Biography,English
103,"Rossetti, Christina Georgina",Everyman's poetry,England,Volume,London,Everyman,,English
104,"Rossetti, Christina Georgina",Phoenix poetry series,England,Volume,London,Phoenix,,English
105,"Rossetti, Christina Georgina",Fyfield books,England,Volume,Manchester,Carcanet,,English
106,"Rossetti, Christina Georgina",Penguin classics,England,Volume,London,Penguin,,English
107,"Rossetti, Christina Georgina",Penguin classics,England,Volume,London,Penguin,,English
108,"Clifford, Joan",Heroes of the Cross,England,Volume,London,Marshall & Pickering,,English
109,"Hassett, Constance W., 1943",Victorian literature and culture series,England ; United States of America,Volume,"Charlottesville, Virginia ; London",Eurospan ; University of Virginia Press,,English
110,"Rosenblum, Dolores",Ad feminam: women and literature,United States of America,Volume,Carbondale,Southern University Press,,English
111,"Rosenblum, Dolores",,United States of America,Volume,Carbondale,Southern Illinois University Press,,English
112,"Evangelista, Paola",,Italy,Volume,Roma,Aracne,,Italian
113,"Rossetti, Christina Georgina",Pocket Poets,England,Volume,London,Edward Hulton,,
114,"Rossetti, Christina Georgina",Augustan Books of Modern Poetry,England,Volume,London,Ernest Benn,,
115,"Battiscombe, Georgina",Writers and their work,England,Volume,London,British Council ; Longmans Green ; National Book League,,
116,"Packer, Lona Mosk",,United States of America,Volume,Berkeley ; Cambridge ; Los Angeles,Cambridge University Press ; University of California Press,,
117,"Hoennighausen, Gisela",,,Volume,,Bonn,,German
118,"Janzen Kooistra, Lorraine",,England ; United Kingdom,Volume,Athens,Ohio University Press,,English
119,"Janzen Kooistra, Lorraine",,United States of America,Volume,Athens,Ohio University Press,,English
120,"Ludlow, Elizabeth",,England,Volume,London,Bloomsbury,Concordance,English
121,"Ludlow, Elizabeth",,England,Volume,London,Bloomsbury,,English
122,"Ludlow, Elizabeth",,England ; United Kingdom,Online resource,London,Bloomsbury,Concordance,English
123,"Harrison, Antony H.",,England,Volume,Brighton,Harvester,,English
124,"Smulders, Sharon",Twayne's English authors series,England ; United States of America,Volume,London ; New York,Prentice Hall ; Twayne,,English
125,"Burlinson, Kathryn",Writers and their work,England,Volume,Plymouth,British Council ; Northcote House,,English
126,"Rossetti, Christina Georgina",The Augustan books of modern poetry,England,Volume,London,Benn,,English
127,"Rossetti, Christina Georgina",The Augustan Books of Modern Poetry,England,Volume,London,Ernest Benn,,English
128,"Rossetti, Christina Georgina",The illustrated poets,England,Volume,Oxford,Oxford University Press,,English
129,"Thomas, Frances",,England,Volume,London,Virago,Biography,English
130,"Thomas, Frances",,England,Volume,Hanley Swan,Association ; Self Publishing,,English
131,"Bellas, Ralph A.",Twayne's English authors series,United States of America,Volume,Boston ; Massachusetts,Twayne,,English
132,,Bloom's major poets,United States of America,Volume,"Broomall, Pennsylvania",Chelsea House,,English
133,"Rossetti, Christina Georgina",,England,Volume,London,Faber,,English
134,,The critical heritage series,England,Volume,London,Routledge,,English
135,"Stuart, Dorothy Margaret",English Men of Letters,England,Volume,London,Macmillan,,
136,"Stuart, Dorothy Margaret",English Association. Pamphlet,England,Volume,London,,,
137,"Rossetti, Christina Georgina",Great English poets,United States of America,Volume,New York,C.N. Potter,,English
138,"Page, Nick",Lion giftlines ; The wisdom of,England,Volume,Oxford,Lion,,English
139,"Brandt, Katja",,Finland,Volume,,Åbo Akademi University Press,,English
